	Protein IDs	1	5	8	11	13	22
21	ABCB10|abcb10.S|gene4375|rna12737;ABCB10|sat2.L|gene36293|rna76564	3476.3	2770.2	3095.75	3917.1499999999996	3651.2	3468.3
22	ABCB5|LOC108719919|gene13076|rna38000;ABCB5|LOC108718865|gene2042|rna5920;ABCB5|LOC108718867|gene49066|rna94886	0.0	0.0	0.0	0.0	0.0	0.0
23	ABCB6|abcb6.L|gene11161|rna32439	12684.0	10576.65	12397.5	15258.0	13779.0	15229.0
24	ABCB7|abcb7.L|gene4927|rna14383;ABCB7|abcb7.S|gene31756|rna71276	113405.0	110535.0	115202.5	153740.0	133870.0	117290.0
25	ABCB8|abcb8.L|gene1861|rna5435	7243.450000000001	3867.55	7779.525	5154.5	9242.0	9533.8
26	ABCC1|abcc1.L|gene20417|rna59639;ABCC1|LOC108702301|gene41860|rna84458;ABCC1|abcc6.L|gene6963|rna20328	9921.0	0.0	10210.5	0.0	21412.0	23645.0
27	ABCD1|abcd1.L|gene39766|rna81490;ABCD1|LOC108705394|gene49796|rna95933	23658.25	30880.5	26676.75	44515.0	21701.0	20078.0
28	ABCD3|abcd3.S|gene4614|rna13456	58184.75	36285.5	59604.5	48068.5	91048.0	82931.0
29	ABCE1|abce1.L|gene1725|rna5021	32527.5	33759.0	32906.75	58307.5	44257.0	57314.0
30	ABCE1|abce1.S|gene19372|rna56615	81647.75	61856.0	95693.5	87825.0	149610.0	157530.0
31	ABCF1|abcf1.L|gene10093|rna29341	736217.5	552065.0	797842.5	749330.0	1153500.0	1068800.0
32	ABCF2|abcf2.L|gene6381|rna18678;ABCF2|LOC108695527|gene37485|rna78225	343415.0	144370.0	373227.5	195935.0	584990.0	571340.0
33	ABCF3|abcf3.L|gene5949|rna17412	7584.5	0.0	7762.5	0.0	18475.0	18607.0
34	ABCF3|abcf3.S|gene6363|rna18625	85962.0	57162.0	89052.25	84206.5	130460.0	132940.0
35	ABHD10|abhd10.L|gene886|rna2599	54525.5	30844.5	58518.5	45261.0	93898.0	92389.0
36	ABHD14B|abhd14b.L|gene6601|rna19317	229465.0	194455.0	257507.5	248540.0	345460.0	297010.0
37	ABHD16A|abhd16a.L|gene285|rna817	5498.0	0.0	6253.0	0.0	14286.0	13715.0
38	ABHD16A|abhd16a.S|gene13187|rna38363	3025.05	0.0	2304.9	0.0	7564.6	5495.5
39	ABI2|abi2.L|gene5840|rna17100;ABI2|abi2.S|gene39808|rna81550	25502.725	7677.95	26586.35	13550.5	62025.0	58387.0
40	ABR|abr.S|gene11558|rna33567	1646.35	0.0	2583.95	0.0	5726.4	4521.3
41	ABRA|abracl.L|gene15331|rna44744	69173.75	18230.0	74059.0	23273.5	124220.0	130480.0
42	ABTB2|abtb2.S|gene18798|rna54867	114595.75	28923.0	107099.5	34115.5	211770.0	172630.0
43	AC008073.5|sf3b6.S|gene34488|rna74073;AC008073.5|LOC108717209|gene40528|rna82573	13493.65	2679.85	12932.75	2828.35	32882.0	37161.0
44	ACAA1|acaa1.L|gene4285|rna12480	544450.0	298125.0	560927.5	429210.0	931790.0	846770.0
45	ACAA2|acaa2.L|gene20396|rna59579	755552.5	441550.0	789545.0	643110.0	1279000.0	1220100.0
46	ACAA2|LOC108705465|gene49629|rna95694	51562.25	66410.5	53567.25	91442.0	52699.0	50886.0
47	ACACB|acacb.L|gene8281|rna24111	4096.3	1568.5549999999998	3648.69	1772.25	6000.8	8674.7
48	ACAD10|acad10.L|gene47694|rna92930	348947.5	284220.0	381615.0	386615.0	485510.0	434950.0
49	ACAD11|acad11.L|gene5340|rna15636	52308.0	33821.0	53834.25	44426.5	78826.0	72179.0
50	ACAD8|acad8.L|gene3537|rna10295	201555.0	110154.5	213582.5	142060.0	365110.0	309130.0
51	ACAD9|acad9.S|gene48840|rna94599	1780830.0	785445.0	1955410.0	1042145.0	3362500.0	3047000.0
52	ACADL|acadl.L|gene17402|rna50813	1515272.5	533240.0	1653515.0	771510.0	3121300.0	2433300.0
53	ACADM|acadm.L|gene8983|rna26158	301287.5	118952.0	322207.5	164595.0	537390.0	497150.0
54	ACADM|acadm.S|gene5405|rna15851	74946.25	49969.0	88461.75	68403.0	126350.0	110160.0
55	ACADS|acads.L|gene8153|rna23734	831060.0	454700.0	893612.5	700330.0	1472000.0	1386800.0
56	ACADSB|acadsb.L|gene9867|rna28681	640082.5	253555.0	659527.5	361280.0	1199700.0	1069200.0
57	ACADVL|acadvl.L|gene16476|rna48141	834365.0	410055.0	820465.0	541365.0	1152000.0	1123100.0
58	ACAT1|acat1.L|gene9051|rna26339	553615.0	267545.0	641282.5	356910.0	1140200.0	1021200.0
59	ACAT1|acat1.S|gene10303|rna29942	238182.5	105737.0	261735.0	148865.0	451800.0	424750.0
60	ACAT2|acat2.L|gene10680|rna31029	48743.8	9410.05	51420.7	13194.95	118900.0	108800.0
61	ACAT2|acat2.S|gene15034|rna43867	5314.1025	1416.9499999999998	6517.7825	1846.4	15046.0	12420.0
62	ACBD3|acbd3.L|gene15895|rna46455	8320.0	0.0	9677.0	0.0	21125.0	25557.0
63	ACBD7|LOC108719883|gene35900|rna76030;ACBD7|acbd7.L|gene15636|rna45649	10722.8	12864.0	12207.75	19257.0	15348.0	11462.0
64	ACIN1|acin1.L|gene2362|rna6874	1631.025	3097.8500000000004	2252.1	7054.25	0.0	0.0
65	ACIN1|acin1.S|gene19443|rna56820	0.0	0.0	0.0	0.0	0.0	0.0
66	ACLY|acly.L|gene4592|rna13396	163505.0	89227.5	181230.5	126995.0	295450.0	256500.0
67	ACLY|acly.S|gene13375|rna38904	57698.25	37702.0	62359.5	56137.0	95984.0	87638.0
68	ACO1|aco1.L|gene13109|rna38105	92982.25	24895.5	99142.0	27725.0	209410.0	206930.0
69	ACO2|aco2.L|gene9191|rna26702	1013975.0	751570.0	1134530.0	982850.0	1754100.0	1551300.0
70	ACO2|aco2.S|gene5999|rna17549	967792.5	607135.0	1036247.5	781855.0	1621800.0	1540600.0
71	ACOT13|acot13.S|gene16725|rna48875	402742.5	264930.0	386250.0	375845.0	560950.0	469140.0
72	ACOT9|acot9.L|gene41668|rna84179	164987.5	97755.0	199502.5	142460.0	331830.0	277720.0
73	ACOX1|acox1.L|gene19413|rna56738	160304.75	68325.5	165195.25	78872.0	267590.0	268970.0
74	ACOX2|acox2.L|gene43504|rna86940	37945.0	57703.0	40821.0	75962.0	22035.0	15713.0
75	ACOX3|acox3.L|gene20256|rna59138	33841.5	22694.0	32084.25	31686.5	57918.0	48724.0
76	ACOXL|LOC108716607|gene35721|rna75783	7224.45	6671.05	6474.45	10650.95	8917.3	9329.0
77	ACP1|acp1.L|gene3974|rna11561	177762.5	115008.5	182820.0	169090.0	279170.0	276530.0
78	ACP1|acp1.S|gene13841|rna40303	37808.0	22006.0	41489.0	32802.0	66959.0	65158.0
79	ACP6|acp6.S|gene17751|rna51892	96133.5	37458.5	102304.75	54710.5	183170.0	166990.0
80	ACSF2|acsf2.L|gene1900|rna5540	0.0	0.0	0.0	0.0	0.0	0.0
81	ACSL1|acsl1.L|gene17415|rna50854;ACSL6|acsl6.L|gene6550|rna19177	348395.0	208930.0	346027.5	281515.0	482300.0	521370.0
82	ACSL1|acsl1.S|gene2183|rna6344	220820.0	127855.0	211407.5	180705.0	308620.0	350390.0
83	ACSL3|acsl3.L|gene70|rna198	5844.5	0.0	6473.0	0.0	16333.0	18073.0
84	ACSL3|acsl3.S|gene18410|rna53781	1533.6	0.0	2033.9	0.0	9318.6	8977.0
85	ACSL4|acsl4.L|gene17661|rna51624	53599.25	15176.5	60711.75	17954.5	104220.0	100870.0
86	ACSL4|acsl4.S|gene18528|rna54109	19991.0	12567.0	22440.5	15674.0	33704.0	32448.0
87	ACSS2|LOC108701066|gene45664|rna90155	5867.0	0.0	6486.5	0.0	15549.0	17755.0
88	ACSS3|acss3.L|gene5750|rna16826	9496.25	2297.3	9641.375	3825.1	17208.0	18887.0
89	ACTC1|actc1.L|gene19063|rna55657;ACTA1|act3.L|gene956|rna2809;ACTA1|act3.L|gene19900|rna58110;ACTC1|actc1.S|gene15500|rna45253;ACTC1|acta1.S|gene9813|rna28533;ACTC1|acta1.L|gene15810|rna46194;ACTA2|acta2.S|gene12862|rna37387;ACTA2|acta2.L|gene2116|rna6148;ACTA1|MGC75582.S|gene6507|rna19032;ACTA1|MGC75582.L|gene17700|rna51725	375605.25	16341.0	386293.75	18897.0	938180.0	1330600.0
90	ACTB|actb.S|gene8320|rna24223;ACTB|actb.L|gene15781|rna46105;ACTG1|actg1.S|gene5277|rna15445;ACTG1|actg1.L|gene50982|rna97705;ACTB|LOC108706050|gene39738|rna81452;ACTG1|LOC108706299|gene37240|rna77905;ACTG1|LOC108706397|gene34789|rna74465;ACTB|LOC108704891|gene12639|rna36724	4256050.0	3348750.0	4424400.0	4373800.0	6650100.0	6386700.0
91	ACTL6A|actl6a.S|gene5951|rna17416;ACTL6B|LOC108703569|gene40826|rna82994	12775.4	7355.0	13390.7	9371.35	21176.0	22027.0
92	ACTL6A|LOC108717002|gene41969|rna84664	3141.5	5424.3	2400.9	9103.65	0.0	0.0
93	ACTN1|actn1.L|gene7284|rna21258	0.0	0.0	0.0	0.0	0.0	0.0
94	ACTN1|actn1.S|gene13179|rna38330	368895.0	236440.0	403400.0	334690.0	670650.0	632560.0
95	ACTN2|actn2.L|gene16734|rna48903	843.25	0.0	701.1	0.0	1862.3	1967.4
96	ACTN4|actn4.L|gene14393|rna41912	131065.0	94633.5	136442.5	138710.0	193160.0	222260.0
97	ACTN4|actn4.S|gene11677|rna33938	143581.0	82572.0	143704.75	108515.5	237590.0	237310.0
98	ACTR10|actr10.L|gene19384|rna56646	0.0	0.0	0.0	0.0	0.0	0.0
99	ACTR1A|actr1a.L|gene13453|rna39150;ACTR1A|actr1a.S|gene18483|rna53968	343430.0	225300.0	367540.0	321740.0	548560.0	435390.0
100	ACTR2|actr2.S|gene7742|rna22614;ACTR2|actr2.L|gene17277|rna50418	321655.0	122584.5	339587.5	178630.0	589240.0	536190.0
101	ACTR3|actr3.L|gene15606|rna45570;ACTR3|actr3.S|gene10245|rna29792	594827.5	453875.0	609980.0	647035.0	788180.0	659470.0
102	ACTR5|actr5.S|gene241|rna679	47601.25	12447.15	47220.0	15886.0	93317.0	85519.0
103	ACTR6|actr6.L|gene16852|rna49244	1611.85	0.0	1914.85	0.0	4090.8	4228.0
104	ACY1|acy1.1.S|gene40107|rna81962	10953.5	0.0	11995.0	0.0	25911.0	27663.0
105	ACYP1|acyp1.S|gene17243|rna50336	13453.475	3054.3	14907.8	3786.45	30088.0	32421.0
106	ADAD1|adad1.L|gene3783|rna11010	77975.25	48011.0	79187.5	66488.5	91749.0	96425.0
107	ADAM10|adam10.S|gene48516|rna94117	8195.15	3336.35	9286.275	5290.7	18980.0	19818.0
108	ADAM10|LOC108711361|gene43481|rna86905	2820.2250000000004	4545.45	2593.625	9066.25	0.0	0.0
109	ADAP1|adap1.S|gene3351|rna9739	0.0	0.0	0.0	0.0	0.0	0.0
110	ADAR|adar.S|gene41964|rna84655	2380.125	3912.15	2417.3	8248.85	0.0	0.0
111	ADAR|adar-a|gene49947|rna96171	1165.7	0.0	1484.75	0.0	4260.2	4568.6
112	ADAR|LOC108706122|gene17921|rna52382	1211.6275	1128.05	1892.375	2009.25	3992.8	5656.6
113	ADCK3|coq8a.L|gene13441|rna39120	25195.0	17225.5	25934.25	28501.5	40911.0	39441.0
114	ADCK3|coq8a.S|gene10074|rna29277	12162.65	7683.85	14080.975	10996.7	22109.0	19972.0
115	ADCK4|coq8b.L|gene3486|rna10148	13325.325	7787.5	14493.25	10650.75	22305.0	24103.0
116	ADD1|add1.S|gene45784|rna90317	0.0	0.0	0.0	0.0	0.0	0.0
117	ADH1B|adh6.L|gene1905|rna5552;ADH1B|LOC108706912|gene48593|rna94220;ADH1B|adh1b.L|gene7929|rna23129;ADH1B|adh1b.S|gene19031|rna55545	214302.0	98397.5	224055.0	133905.0	377170.0	358510.0
118	ADH5|adh5.L|gene3283|rna9511	63744.0	32677.0	66338.5	37405.0	103660.0	114710.0
119	ADH5|adh5.S|gene11804|rna34274	16999.5	0.0	23019.0	0.0	49723.0	43635.0
120	ADK|adk.S|gene15402|rna44947	280827.5	146050.0	311090.0	238470.0	619490.0	667550.0
121	ADNP|adnp.L|gene13391|rna38956;ADNP|adnp.S|gene4002|rna11637	6481.5	0.0	12337.5	0.0	11418.0	12723.0
122	ADO|ado.L|gene3172|rna9191	47286.5	19893.5	47376.75	26209.0	88693.0	85224.0
123	ADPGK|adpgk.L|gene1233|rna3584	81250.5	71322.5	82819.25	99334.5	103080.0	103050.0
124	ADPRHL1|LOC108704185|gene48307|rna93843;ADPRHL1|adprh-like.2.1.S|gene12404|rna36068;ADPRH|adprh|gene13098|rna38080	0.0	0.0	0.0	0.0	0.0	0.0
125	ADPRM|adprm.L|gene1437|rna4193	1056.0525	712.5799999999999	1024.2025	908.515	1886.5	1307.4
126	ADRM1|adrm1.L|gene7755|rna22642	33566.5	24566.0	37545.0	32652.5	56158.0	57433.0
127	ADRM1|adrm1.S|gene11779|rna34211	32630.0	16030.0	37876.5	21298.0	67654.0	71188.0
128	ADSL|adsl.L|gene17107|rna49971	564050.0	257525.0	611880.0	362920.0	1199400.0	1044200.0
129	ADSS|adss.L|gene5693|rna16670	290217.5	148850.0	327967.5	233795.0	568610.0	542920.0
130	AFG3L2|afg3l1p.S|gene11720|rna34052	97124.0	102233.0	97358.5	141280.0	89085.0	73150.0
131	AFG3L2|afg3l2.L|gene284|rna813	164102.5	117608.0	172972.5	162735.0	237970.0	215780.0
132	AFG3L2|LOC108719188|gene45912|rna90485	398110.0	156630.0	525402.5	201260.0	818980.0	667840.0
133	AFM|LOC108711114|gene34875|rna74573	52753.25	24926.5	31587.75	15973.0	27383.0	21956.0
134	AGA|aga.L|gene10277|rna29880	6506.5	0.0	7167.0	0.0	15034.0	16980.0
135	AGAP1|LOC108703035|gene36356|rna76652;AGAP1|agap1.S|gene21079|rna60560;AGAP3|LOC108719636|gene50450|rna96957;AGAP3|LOC108704618|gene43454|rna86867;AGAP1|agap1.L|gene13571|rna39500	2567.875	3061.8	1565.875	4398.65	0.0	0.0
136	AGFG1|agfg1.L|gene20014|rna58420;AGFG1|agfg1.S|gene12292|rna35730	39511.25	10092.75	42422.0	15007.0	74522.0	60712.0
137	AGK|agk.S|gene43910|rna87559;AGK|LOC108704355|gene41864|rna84461	52474.0	43102.0	59887.5	58865.0	81161.0	68937.0
138	AGL|agl.L|gene6800|rna19901	401672.5	209150.0	458607.5	288045.0	825830.0	775140.0
139	AGL|agl.S|gene4802|rna14022	155315.0	2942.8500000000004	178680.6	5476.35	376650.0	323650.0
140	AGMAT|agmat.S|gene13591|rna39551	1666.525	2623.05	1292.725	4312.25	0.0	0.0
141	AGPAT1|agpat1.L|gene6221|rna18177	0.0	0.0	0.0	0.0	0.0	0.0
142	AGPAT3|agpat3.S|gene13045|rna37904;AGPAT3|agpat3.L|gene5727|rna16764	19865.975	7185.5	24849.2	10626.75	44577.0	52093.0
143	AGPS|agps.L|gene14326|rna41723	49241.25	22930.0	51061.25	34614.5	84162.0	74370.0
144	AGPS|LOC108703003|gene36829|rna77329	55224.75	40905.5	56689.5	67072.0	71434.0	70958.0
145	AGR2|agr2.S|gene5728|rna16766	4821.25	0.0	5138.5	0.0	14702.0	62227.0
146	AGR3|ag1.S|gene8814|rna25669;AGR3|ag1.L|gene3120|rna9045	5323.5	0.0	5050.5	0.0	28901.0	103850.0
147	AGRP|LOC108715364|gene48229|rna93734	3481.25	0.0	3859.45	0.0	4443.6	6555.9
148	AHCTF1|ahctf1.L|gene324|rna932	17813.0	12429.15	16982.25	13685.5	23554.0	21347.0
149	AHCY|ahcy.L|gene13422|rna39058	486779.5	59348.0	537963.25	85869.5	1087500.0	1061400.0
150	AHCY|ahcy.S|gene16915|rna49432	311710.0	118877.0	329995.0	175460.0	627700.0	611040.0
151	AHCYL2|ahcyl2.L|gene9310|rna27052;AHCYL1|ahcyl1.S|gene49088|rna94918	18187.675	4791.45	21481.625	16929.0	68981.0	87491.0
152	AHCYL2|ahcyl2.S|gene6041|rna17683	1118.3	2183.2	1125.35	6588.5	0.0	0.0
153	AHNAK|ahnak.L|gene11108|rna32278;AHNAK|LOC108715141|gene44374|rna88249;NoName-TF344181|LOC108712272|gene34486|rna74071	95760.0	0.0	115905.0	0.0	543930.0	1609900.0
154	AHSA1|ahsa1.L|gene15450|rna45100	4777.15	8619.5	4257.85	10901.4	0.0	0.0
155	AHSA1|ahsa1.S|gene14011|rna40815	2170.2	2781.8	1533.025	4419.3	0.0	0.0
156	AIFM1|aifm1.L|gene13130|rna38166	1009635.0	521530.0	1050097.5	715405.0	1775600.0	1589500.0
157	AIFM2|aifm2.S|gene8072|rna23541	2527.15	5101.5	1860.7749999999999	7878.95	0.0	0.0
158	AIMP1|aimp1.L|gene5437|rna15941	89120.25	76703.5	100798.75	113170.0	151020.0	160120.0
159	AIMP1|aimp1.S|gene2980|rna8629	125650.0	117542.0	138335.0	166890.0	153670.0	165680.0
160	AIMP2|aimp2.S|gene3043|rna8811;AIMP2|aimp2.L|gene3428|rna9975	227455.0	118562.5	229567.25	144500.0	397370.0	404900.0
161	AIP|LOC108696308|gene41900|rna84534	29595.4	7738.4	29557.025	10568.8	53747.0	53375.0
162	AK2|ak2.L|gene7943|rna23167;AK5|LOC108714198|gene45326|rna89649;AK5|LOC108715506|gene8873|rna25830	134315.25	46538.5	145678.75	66522.0	269810.0	256480.0
163	AK2|ak2.S|gene5291|rna15490	122046.5	33836.0	138164.0	43824.5	274380.0	264190.0
164	AK7|ak7.S|gene14614|rna42587	0.0	0.0	0.0	0.0	0.0	0.0
165	AK7|dpy30.S|gene14431|rna42004;AK7|dpy30.L|gene13849|rna40324	65227.25	25030.5	73808.75	41282.0	165690.0	174460.0
166	AKAP11|akap11.S|gene5192|rna15199	33365.5	0.0	34631.5	0.0	81249.0	55509.0
167	AKIRIN2|akirin2.S|gene45722|rna90230;AKIRIN2|LOC108716879|gene45119|rna89349	16176.0	22022.5	16269.1	32500.0	9932.8	7736.0
168	AKR1A1|akr1a1.L|gene14888|rna43457;AKR1A1|akr1a1.S|gene13451|rna39147	947072.5	511705.0	1062920.0	716560.0	1822400.0	1748600.0
169	AKR1A1|loc100216027.L|gene11151|rna32408	38513.0	19248.5	44272.0	28890.5	73363.0	74099.0
170	AKR1B1|akr1b1.L|gene11762|rna34160	401362.5	147175.0	496450.0	214405.0	1011700.0	990140.0
171	AKR1B1|akr1b1.S|gene6914|rna20201	866640.0	396365.0	971292.5	622065.0	1777600.0	1919500.0
172	AKR1C1|akr1c2.L|gene5775|rna16895;AKR1C1|akr1c2.S|gene18957|rna55341;AKR1C4|akr1c4.S|gene18244|rna53292	6250.75	9496.65	5378.5	14474.0	0.0	0.0
173	AKR1C3|akr1c8p.S|gene9017|rna26253	15555.25	14856.0	15296.0	20431.0	15314.0	18046.0
174	AKR1C4|akr1c1.S|gene13472|rna39194;AKR1C3|akr1c3.L|gene67|rna193	129837.5	96848.0	131447.0	133115.0	180680.0	174770.0
175	AKR7A2|akr7a2.L|gene17842|rna52142;AKR7A2|akr7a2.S|gene6959|rna20317	590567.5	306555.0	644967.5	448310.0	1161700.0	994280.0
176	AKT2|akt2.S|gene11491|rna33389;AKT2|akt2.L|gene13026|rna37849	69519.25	20949.0	77029.25	31968.5	178290.0	218960.0
177	ALAD|alad.L|gene15122|rna44135;ALAD|MGC84775|gene38525|rna79721	3209.72	4987.200000000001	3360.4249999999997	6551.950000000001	1307.4	1108.4
178	ALB|alb.S|gene14669|rna42750;ALB|alb.L|gene1766|rna5124	623887.5	125767.5	347862.5	99952.0	424970.0	519170.0
179	ALB|alb-like.2.L|gene26035|rna65535	92829.0	80855.5	64131.0	39477.5	27011.0	25572.0
180	ALCAM|alcam.S|gene12056|rna35024;ALCAM|alcam.L|gene17778|rna51958	0.0	0.0	0.0	0.0	0.0	0.0
181	ALDH18A1|aldh18a1.L|gene4586|rna13374	906155.0	643805.0	952655.0	879620.0	1416100.0	1224400.0
182	ALDH1A2|aldh1a2.L|gene1923|rna5605	4105.0	0.0	5374.5	0.0	20893.0	32247.0
183	ALDH1L2|aldh1l1.L|gene15063|rna43951	0.0	0.0	0.0	0.0	0.0	0.0
184	ALDH2|aldh2.L|gene9577|rna27865;ALDH1B1|LOC108713458|gene37032|rna77614;ALDH1A1|aldh1a1.L|gene43161|rna86429;ALDH1A3|aldh1a3.S|gene531|rna1512;ALDH1A3|aldh1a3.L|gene6930|rna20248	1841325.0	957845.0	1942000.0	1319350.0	2948800.0	2715600.0
185	ALDH3A2|aldh3a2.L|gene3412|rna9934	4840.1	0.0	5254.5	0.0	14831.0	12935.0
186	ALDH3A2|aldh3a2.S|gene8696|rna25319	500105.0	468580.0	606822.5	742935.0	610010.0	606410.0
187	ALDH3A2|aldh3b1.L|gene9275|rna26929	2434.5875	850.61	2894.38	2193.4	4887.8	2885.6
188	ALDH3A2|aldh3b2.L|gene10012|rna29102	30117.5	19936.5	33498.75	26721.5	37241.0	34858.0
189	ALDH6A1|aldh6a1.L|gene7153|rna20877	510347.5	256290.0	543425.0	353050.0	926510.0	918110.0
190	ALDH6A1|aldh6a1.S|gene5375|rna15761	592180.0	326945.0	666277.5	466530.0	1082500.0	968200.0
191	ALDH7A1|aldh7a1.L|gene10316|rna29980	524477.5	189935.0	578912.5	306295.0	1126100.0	1038800.0
192	ALDH7A1|aldh7a1.S|gene12271|rna35664	269585.0	166275.0	311085.0	228740.0	495350.0	481390.0
193	ALDH9A1|aldh9a1.S|gene18019|rna52666	1068010.0	546945.0	1117957.5	753030.0	2024700.0	2002000.0
194	ALDOA|aldoa.L|gene16277|rna47549;SPACA5|LOC108702365|gene41283|rna83669	281572.5	124940.0	284036.25	122920.0	541980.0	489770.0
195	ALDOA|aldoa.S|gene43317|rna86653	625947.5	154230.0	598255.0	176500.0	1281900.0	1167100.0
196	ALDOC|aldob.L|gene15736|rna45960;ALDOC|aldob.S|gene13544|rna39422	90221.5	41998.0	100716.75	56479.0	186490.0	289120.0
197	ALDOC|aldoc.L|gene3368|rna9787	3891300.0	1937050.0	4132975.0	2866450.0	6893600.0	6525800.0
198	ALG1|alg1.L|gene10847|rna31528	2067.2	3697.05	2172.775	4817.55	0.0	0.0
199	ALG13|otud4-like.2.L|gene8143|rna23711	23741.0	16236.5	15812.75	16134.5	16811.0	13933.0
200	ALG5|alg5.S|gene6580|rna19259;ALG5|alg5.L|gene17262|rna50385	38337.5	5279.35	41624.475	7015.4	89971.0	75703.0
201	ALG8|alg8.S|gene9205|rna26736	104924.25	32290.5	120079.75	41132.5	229050.0	214850.0
202	ALKBH3|alkbh3.L|gene36665|rna77091	11482.75	2608.35	11973.325	3317.05	24055.0	17815.0
203	ALOXE3|alox12b.S|gene3152|rna9131;ALOXE3|LOC108708798|gene36263|rna76525;ALOX15B|LOC108707613|gene41777|rna84340	1150497.5	927200.0	1272777.5	1188550.0	1658400.0	1588100.0
204	ALPL|alpl.S|gene11111|rna32297;ALPL|alpl.L|gene13568|rna39490	0.0	0.0	0.0	0.0	0.0	0.0
205	ALYREF|alyref.S|gene18345|rna53584;ALYREF|alyref.L|gene19522|rna57044	75510.25	48784.5	92049.0	121870.0	192980.0	204600.0
206	AMACR|amacr.L|gene6680|rna19554	77771.5	57909.5	86970.25	72305.5	128130.0	115190.0
207	AMDHD1|amdhd1.L|gene11258|rna32745	377717.5	286165.0	428527.5	385280.0	683120.0	642590.0
208	AMDHD2|LOC108701618|gene39732|rna81442	120239.5	72260.5	125169.75	98907.5	202440.0	177730.0
209	AMT|amt.L|gene13233|rna38510;AMT|LOC108715028|gene43238|rna86547	257125.0	169015.0	265172.5	198705.0	370580.0	288430.0
210	ANAPC1|anapc1.S|gene19092|rna55749	12209.25	18649.0	12189.35	23532.0	4946.7	4753.1
211	ANAPC10|anapc10.S|gene4207|rna12236;ANAPC10|anapc10.L|gene9099|rna26478	14854.6	10127.2	17505.4	11627.9	23716.0	23472.0
212	ANAPC16|anapc16.S|gene559|rna1613;ANAPC16|anapc16.L|gene14883|rna43438	5361.375	5302.95	4728.225	7747.299999999999	7244.7	6144.9
213	ANAPC4|anapc4.L|gene16266|rna47510	53409.5	29872.0	54199.0	41000.5	79547.0	72784.0
214	ANAPC7|anapc7.L|gene8749|rna25474;ANAPC7|anapc7.S|gene174|rna485	17779.75	20638.5	20695.0	29785.0	13207.0	11940.0
215	ANKFY1|LOC108708356|gene40796|rna82950	1326.75	2187.45	1255.3249999999998	2942.25	0.0	0.0
216	ANKFY1|LOC108709660|gene44018|rna87693	2774.325	4796.8	2594.525	7312.25	0.0	0.0
217	ANKHD1-EIF4EBP3|ankhd1.S|gene14514|rna42265;ANKHD1-EIF4EBP3|LOC108710905|gene38103|rna79134	4002.825	3504.4500000000003	3745.7	4709.7	5457.9	5173.7
218	ANKMY2|LOC108719915|gene36530|rna76905	118637.5	20540.5	133694.25	30634.0	282000.0	279310.0
219	ANKRD13A|ankrd13a.L|gene20101|rna58659	0.0	0.0	0.0	0.0	0.0	0.0
